57,603,Color [A=255, R=255, G=255, B=255]
57,604,Color [A=255, R=255, G=255, B=255]
57,605,Color [A=255, R=255, G=255, B=255]
57,606,Color [A=255, R=255, G=255, B=255]
57,616,Color [A=255, R=255, G=255, B=255]
57,617,Color [A=255, R=255, G=255, B=255]
57,618,Color [A=255, R=255, G=255, B=255]
58,536,Color [A=255, R=255, G=255, B=255]
58,543,Color [A=255, R=255, G=255, B=255]
58,606,Color [A=255, R=255, G=255, B=255]
58,607,Color [A=255, R=255, G=255, B=255]
58,608,Color [A=255, R=255, G=255, B=255]
58,609,Color [A=255, R=255, G=255, B=255]
58,610,Color [A=255, R=255, G=255, B=255]
58,611,Color [A=255, R=255, G=255, B=255]
58,612,Color [A=255, R=255, G=255, B=255]
58,613,Color [A=255, R=255, G=255, B=255]
58,614,Color [A=255, R=255, G=255, B=255]
58,615,Color [A=255, R=255, G=255, B=255]
58,616,Color [A=255, R=255, G=255, B=255]
59,536,Color [A=255, R=255, G=255, B=255]
59,543,Color [A=255, R=255, G=255, B=255]
60,535,Color [A=255, R=255, G=255, B=255]
60,536,Color [A=255, R=255, G=255, B=255]
60,542,Color [A=255, R=255, G=255, B=255]
60,543,Color [A=255, R=255, G=255, B=255]
61,535,Color [A=255, R=255, G=255, B=255]
61,542,Color [A=255, R=255, G=255, B=255]
62,535,Color [A=255, R=255, G=255, B=255]
62,542,Color [A=255, R=255, G=255, B=255]
63,535,Color [A=255, R=255, G=255, B=255]
63,541,Color [A=255, R=255, G=255, B=255]
63,542,Color [A=255, R=255, G=255, B=255]
64,534,Color [A=255, R=255, G=255, B=255]
64,535,Color [A=255, R=255, G=255, B=255]
64,541,Color [A=255, R=255, G=255, B=255]
65,534,Color [A=255, R=255, G=255, B=255]
65,541,Color [A=255, R=255, G=255, B=255]
66,534,Color [A=255, R=255, G=255, B=255]
66,541,Color [A=255, R=255, G=255, B=255]
67,534,Color [A=255, R=255, G=255, B=255]
67,540,Color [A=255, R=255, G=255, B=255]
67,541,Color [A=255, R=255, G=255, B=255]
68,533,Color [A=255, R=255, G=255, B=255]
68,534,Color [A=255, R=255, G=255, B=255]
68,540,Color [A=255, R=255, G=255, B=255]
69,533,Color [A=255, R=255, G=255, B=255]
69,540,Color [A=255, R=255, G=255, B=255]
70,533,Color [A=255, R=255, G=255, B=255]
70,540,Color [A=255, R=255, G=255, B=255]
71,533,Color [A=255, R=255, G=255, B=255]
71,539,Color [A=255, R=255, G=255, B=255]
71,540,Color [A=255, R=255, G=255, B=255]
72,532,Color [A=255, R=255, G=255, B=255]
72,533,Color [A=255, R=255, G=255, B=255]
72,539,Color [A=255, R=255, G=255, B=255]
73,532,Color [A=255, R=255, G=255, B=255]
73,539,Color [A=255, R=255, G=255, B=255]
74,532,Color [A=255, R=255, G=255, B=255]
74,538,Color [A=255, R=255, G=255, B=255]
74,539,Color [A=255, R=255, G=255, B=255]
75,531,Color [A=255, R=255, G=255, B=255]
75,532,Color [A=255, R=255, G=255, B=255]
75,538,Color [A=255, R=255, G=255, B=255]
75,539,Color [A=255, R=255, G=255, B=255]
76,531,Color [A=255, R=255, G=255, B=255]
76,538,Color [A=255, R=255, G=255, B=255]
77,531,Color [A=255, R=255, G=255, B=255]
77,537,Color [A=255, R=255, G=255, B=255]
77,538,Color [A=255, R=255, G=255, B=255]
78,531,Color [A=255, R=255, G=255, B=255]
78,537,Color [A=255, R=255, G=255, B=255]
78,538,Color [A=255, R=255, G=255, B=255]
79,530,Color [A=255, R=255, G=255, B=255]
79,531,Color [A=255, R=255, G=255, B=255]
79,537,Color [A=255, R=255, G=255, B=255]
80,530,Color [A=255, R=255, G=255, B=255]
80,537,Color [A=255, R=255, G=255, B=255]
81,530,Color [A=255, R=255, G=255, B=255]
81,537,Color [A=255, R=255, G=255, B=255]
82,530,Color [A=255, R=255, G=255, B=255]
82,536,Color [A=255, R=255, G=255, B=255]
82,537,Color [A=255, R=255, G=255, B=255]
83,530,Color [A=255, R=255, G=255, B=255]
83,536,Color [A=255, R=255, G=255, B=255]
84,529,Color [A=255, R=255, G=255, B=255]
84,530,Color [A=255, R=255, G=255, B=255]
84,536,Color [A=255, R=255, G=255, B=255]
85,529,Color [A=255, R=255, G=255, B=255]
85,530,Color [A=255, R=255, G=255, B=255]
85,536,Color [A=255, R=255, G=255, B=255]
86,529,Color [A=255, R=255, G=255, B=255]
86,536,Color [A=255, R=255, G=255, B=255]
87,529,Color [A=255, R=255, G=255, B=255]
87,536,Color [A=255, R=255, G=255, B=255]
88,529,Color [A=255, R=255, G=255, B=255]
88,536,Color [A=255, R=255, G=255, B=255]
89,529,Color [A=255, R=255, G=255, B=255]
89,535,Color [A=255, R=255, G=255, B=255]
89,536,Color [A=255, R=255, G=255, B=255]
90,529,Color [A=255, R=255, G=255, B=255]
90,535,Color [A=255, R=255, G=255, B=255]
91,528,Color [A=255, R=255, G=255, B=255]
91,529,Color [A=255, R=255, G=255, B=255]
91,535,Color [A=255, R=255, G=255, B=255]
92,528,Color [A=255, R=255, G=255, B=255]
92,529,Color [A=255, R=255, G=255, B=255]
